Title,Year,Duration,Rating,Gross,Genre
Rise of the Planet of the Apes,2011,105 min,7.6,$176.76M,"Action, Drama, Sci-Fi"
Home Alone,1990,103 min,7.7,$285.76M,"Comedy, Family"
Jaws,1975,124 min,8.1,$260.00M,"Adventure, Thriller"
Hotel Transylvania 2,2015,89 min,6.6,$169.70M,"Animation, Adventure, Comedy"
Star Wars: Episode VI - Return of the Jedi,1983,131 min,8.3,$309.13M,"Action, Adventure, Fantasy"
Charlie and the Chocolate Factory,2005,115 min,6.7,$206.46M,"Adventure, Comedy, Family"
Indiana Jones and the Last Crusade,1989,127 min,8.2,$197.17M,"Action, Adventure"
San Andreas,2015,114 min,6.1,$155.19M,"Action, Adventure, Thriller"
It Chapter Two,2019,169 min,6.5,$211.59M,"Drama, Fantasy, Horror"
La La Land,2016,128 min,8,$151.10M,"Comedy, Drama, Music"
Wreck-It Ralph,2012,101 min,7.7,$189.42M,"Animation, Adventure, Comedy"
Godzilla vs. Kong,2021,113 min,6.3,$100.92M,"Action, Sci-Fi, Thriller"
The Hangover,2009,100 min,7.7,$277.32M,Comedy
Lucy,2014,89 min,6.4,$126.66M,"Action, Sci-Fi, Thriller"
The Lego Movie,2014,100 min,7.7,$257.76M,"Animation, Action, Adventure"
Bumblebee,2018,114 min,6.7,$127.20M,"Action, Adventure, Sci-Fi"
Star Trek Into Darkness,2013,132 min,7.7,$228.78M,"Action, Adventure, Sci-Fi"
The Matrix,1999,136 min,8.7,$171.48M,"Action, Sci-Fi"
Pretty Woman,1990,119 min,7.1,$178.41M,"Comedy, Romance"
Cars,2006,117 min,7.2,$244.08M,"Animation, Adventure, Comedy"
Ba bai,2020,149 min,6.7,$0.37M,"Action, Drama, History"
X-Men: The Last Stand,2006,104 min,6.6,$234.36M,"Action, Adventure, Sci-Fi"
Du xing yue qiu,2022,122 min,6.4,,"Comedy, Sci-Fi"
National Treasure: Book of Secrets,2007,124 min,6.5,$219.96M,"Action, Adventure, Mystery"
Mission: Impossible,1996,110 min,7.1,$180.98M,"Action, Adventure, Thriller"
300,2006,117 min,7.6,$210.61M,"Action, Drama"
The Last Samurai,2003,154 min,7.8,$111.11M,"Action, Drama"
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117 min,8.2,$47.70M,"Animation, Action, Adventure"
Wo bu shi yao shen,2018,117 min,7.8,$0.01M,"Comedy, Drama"
Ocean's Eleven,2001,116 min,7.7,$183.42M,"Crime, Thriller"
Wo he wo de zu guo,2019,154 min,6.3,$2.36M,"Drama, History"
Thor,2011,115 min,7,$181.03M,"Action, Fantasy"
Pearl Harbor,2001,183 min,6.2,$198.54M,"Action, Drama, History"
Tarzan,1999,88 min,7.3,$171.09M,"Animation, Adventure, Comedy"
Men in Black II,2002,88 min,6.2,$190.42M,"Action, Adventure, Comedy"
The Bourne Ultimatum,2007,115 min,8,$227.47M,"Action, Mystery, Thriller"
The Mummy Returns,2001,130 min,6.4,$202.02M,"Action, Adventure, Fantasy"
Alvin and the Chipmunks: The Squeakquel,2009,88 min,4.5,$219.61M,"Animation, Adventure, Comedy"
Les Misérables,2012,158 min,7.5,$148.81M,"Drama, Musical, Romance"
The Exorcist,1973,122 min,8.1,$232.91M,Horror
Mrs. Doubtfire,1993,125 min,7.1,$219.20M,"Comedy, Drama"
Terminator Genisys,2015,126 min,6.3,$89.76M,"Action, Adventure, Sci-Fi"
Warcraft,2016,123 min,6.7,$47.37M,"Action, Adventure, Fantasy"
A Star Is Born,2018,136 min,7.6,$215.29M,"Drama, Music, Romance"
The Greatest Showman,2017,105 min,7.5,$174.34M,"Biography, Drama, Musical"
Terminator 3: Rise of the Machines,2003,109 min,6.3,$150.37M,"Action, Sci-Fi"
Pokémon: Detective Pikachu,2019,104 min,6.5,$144.11M,"Action, Adventure, Comedy"
Shang-Chi and the Legend of the Ten Rings,2021,132 min,7.4,$224.54M,"Action, Adventure, Fantasy"
Die Another Day,2002,133 min,6.1,$160.94M,"Action, Adventure, Thriller"
The Secret Life of Pets 2,2019,86 min,6.4,$158.87M,"Animation, Adventure, Comedy"
Cast Away,2000,143 min,7.8,$233.63M,"Adventure, Drama, Romance"
Rampage,2018,107 min,6.1,$101.03M,"Action, Adventure, Sci-Fi"
The King's Speech,2010,118 min,8,$138.80M,"Biography, Drama, History"
The Matrix Revolutions,2003,129 min,6.7,$139.31M,"Action, Sci-Fi"
The Intouchables,2011,112 min,8.5,$13.18M,"Biography, Comedy, Drama"
Bad Boys for Life,2020,124 min,6.5,$206.31M,"Action, Comedy, Crime"
Django Unchained,2012,165 min,8.4,$162.81M,"Drama, Western"
Beauty and the Beast,1991,84 min,8,$218.97M,"Animation, Family, Fantasy"
Dances with Wolves,1990,181 min,8,$184.21M,"Adventure, Drama, Western"
Wo he wo de jia xiang,2020,153 min,6.4,,Drama
The Chronicles of Narnia: Prince Caspian,2008,150 min,6.5,$141.62M,"Action, Adventure, Family"
Sex and the City,2008,145 min,5.7,$152.65M,"Comedy, Drama, Romance"
Zhong guo ji zhang,2019,111 min,6.2,$0.71M,"Action, Adventure, Drama"
The Mummy,1999,124 min,7.1,$155.25M,"Action, Adventure, Fantasy"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113 min,6.3,$104.39M,"Adventure, Family, Fantasy"
Jason Bourne,2016,123 min,6.6,$162.43M,"Action, Thriller"
Mad Max: Fury Road,2015,120 min,8.1,$154.06M,"Action, Adventure, Sci-Fi"
The Wolverine,2013,126 min,6.7,$132.56M,"Action, Sci-Fi"
Kingsman: The Secret Service,2014,129 min,7.7,$128.26M,"Action, Adventure, Comedy"
Night at the Museum: Battle of the Smithsonian,2009,105 min,6,$177.24M,"Adventure, Comedy, Family"
Batman,1989,126 min,7.5,$251.19M,"Action, Adventure"
The Bodyguard,1992,129 min,6.3,$121.95M,"Action, Drama, Music"
Pacific Rim,2013,131 min,6.9,$101.80M,"Action, Adventure, Sci-Fi"
Kingsman: The Golden Circle,2017,141 min,6.7,$100.23M,"Action, Adventure, Comedy"
The Mummy,2017,110 min,5.4,$80.10M,"Action, Adventure, Fantasy"
Ice Age: Collision Course,2016,94 min,5.6,$64.06M,"Animation, Adventure, Comedy"
Twilight,2008,122 min,5.3,$192.77M,"Drama, Fantasy, Romance"
Signs,2002,106 min,6.8,$227.97M,"Drama, Mystery, Sci-Fi"
X2,2003,134 min,7.4,$214.95M,"Action, Sci-Fi, Thriller"
Sing 2,2021,110 min,7.4,$162.79M,"Animation, Adventure, Comedy"
Fantastic Beasts: The Secrets of Dumbledore,2022,142 min,6.2,$95.85M,"Adventure, Family, Fantasy"
The Wolf of Wall Street,2013,180 min,8.2,$116.90M,"Biography, Comedy, Crime"
Alita: Battle Angel,2019,122 min,7.3,$85.71M,"Action, Adventure, Sci-Fi"
